file_name,avg,worst,best
Ackley_10D,4.441e-16,4.441e-16,4.441e-16
Ackley_2D,4.441e-16,4.441e-16,4.441e-16
Ackley_30D,4.441e-16,4.441e-16,4.441e-16
BentCigar_10D,6.667e+02,1.000e+04,0.000e+00
BentCigar_2D,0.000e+00,0.000e+00,0.000e+00
BentCigar_30D,6.667e+02,1.000e+04,0.000e+00
DropWave_10D,0.000e+00,0.000e+00,0.000e+00
DropWave_2D,0.000e+00,0.000e+00,0.000e+00
DropWave_30D,0.000e+00,0.000e+00,0.000e+00
HappyCat_10D,1.498e-01,3.072e-01,4.384e-02
HappyCat_2D,8.854e-03,4.474e-02,2.759e-05
HappyCat_30D,5.046e-01,7.084e-01,3.339e-01
Michalewicz_10D,-8.059e+00,-5.846e+00,-9.438e+00
Michalewicz_2D,-1.801e+00,-1.801e+00,-1.801e+00
Michalewicz_30D,-2.440e+01,-1.861e+01,-2.779e+01
Rastrigin_10D,8.290e-01,2.487e+01,0.000e+00
Rastrigin_2D,0.000e+00,0.000e+00,0.000e+00
Rastrigin_30D,2.428e+01,8.677e+01,0.000e+00
Rosenbrock_10D,1.203e-08,3.608e-07,0.000e+00
Rosenbrock_2D,0.000e+00,0.000e+00,0.000e+00
Rosenbrock_30D,2.384e+01,2.663e+01,2.055e+01
Schwefel_10D,5.981e+02,1.192e+03,1.273e-04
Schwefel_2D,3.947e+01,1.184e+02,2.546e-05
Schwefel_30D,2.753e+03,5.136e+03,1.421e+03
Step_10D,0.000e+00,0.000e+00,0.000e+00
Step_2D,0.000e+00,0.000e+00,0.000e+00
Step_30D,0.000e+00,0.000e+00,0.000e+00
Zakharov_10D,0.000e+00,0.000e+00,0.000e+00
Zakharov_2D,0.000e+00,0.000e+00,0.000e+00
Zakharov_30D,2.393e+01,2.009e+02,0.000e+00
