file_name,avg,worst,best
Ackley_10D,4.441e-16,4.441e-16,4.441e-16
Ackley_2D,4.441e-16,4.441e-16,4.441e-16
Ackley_30D,4.441e-16,4.441e-16,4.441e-16
BentCigar_10D,5.997e-54,1.799e-52,0.000e+00
BentCigar_2D,0.000e+00,0.000e+00,0.000e+00
BentCigar_30D,5.376e-03,1.198e-01,0.000e+00
DropWave_10D,0.000e+00,0.000e+00,0.000e+00
DropWave_2D,0.000e+00,0.000e+00,0.000e+00
DropWave_30D,0.000e+00,0.000e+00,0.000e+00
HappyCat_10D,1.248e-01,2.027e-01,5.168e-02
HappyCat_2D,8.700e-03,4.418e-02,1.208e-06
HappyCat_30D,3.478e-01,4.480e-01,2.230e-01
Michalewicz_10D,-9.644e+00,-9.551e+00,-9.660e+00
Michalewicz_2D,-1.801e+00,-1.801e+00,-1.801e+00
Michalewicz_30D,-2.814e+01,-2.603e+01,-2.930e+01
Rastrigin_10D,0.000e+00,0.000e+00,0.000e+00
Rastrigin_2D,0.000e+00,0.000e+00,0.000e+00
Rastrigin_30D,6.632e+00,2.487e+01,0.000e+00
Rosenbrock_10D,4.834e-30,6.163e-29,0.000e+00
Rosenbrock_2D,0.000e+00,0.000e+00,0.000e+00
Rosenbrock_30D,1.335e+01,1.693e+01,1.509e-05
Schwefel_10D,7.049e+02,1.190e+03,2.369e+02
Schwefel_2D,3.157e+01,1.184e+02,2.546e-05
Schwefel_30D,2.167e+03,3.813e+03,1.306e+03
Step_10D,0.000e+00,0.000e+00,0.000e+00
Step_2D,0.000e+00,0.000e+00,0.000e+00
Step_30D,0.000e+00,0.000e+00,0.000e+00
Zakharov_10D,0.000e+00,0.000e+00,0.000e+00
Zakharov_2D,0.000e+00,0.000e+00,0.000e+00
Zakharov_30D,0.000e+00,0.000e+00,0.000e+00
